run_dir,timestamp,dataset,variant,motif_rand,motif_dim,seed,test_acc,test_macro_f1,best_val_epoch,total_epochs
20260607_012354_cora_gcn,2026-06-07T01:23:55,cora,gcn,False,0,0,0.7820000648498535,0.7758936482041536,47,98
20260607_012357_cora_gcn,2026-06-07T01:23:57,cora,gcn,False,0,1,0.7890000343322754,0.7792212485385922,11,62
20260607_012352_cora_gcn,2026-06-07T01:23:52,cora,gcn,False,0,42,0.7850000262260437,0.7750585970835011,31,82
20260607_012402_cora_sage,2026-06-07T01:24:02,cora,sage,False,0,0,0.7750000357627869,0.7684389968070062,9,60
20260607_012404_cora_sage,2026-06-07T01:24:04,cora,sage,False,0,1,0.7940000295639038,0.787201111404532,19,70
20260607_012359_cora_sage,2026-06-07T01:24:00,cora,sage,False,0,42,0.7680000066757202,0.7532212644278831,41,92
20260607_012409_cora_gat,2026-06-07T01:24:09,cora,gat,False,0,0,0.8060000538825989,0.8001686373103325,28,79
20260607_012411_cora_gat,2026-06-07T01:24:12,cora,gat,False,0,1,0.800000011920929,0.7941006347503484,6,57
20260607_012406_cora_gat,2026-06-07T01:24:07,cora,gat,False,0,42,0.7930000424385071,0.7895485210796945,6,57
20260607_015917_cora_concat,2026-06-07T01:59:18,cora,concat,False,3,0,0.7680000066757202,0.7636420609580237,20,71
20260607_015919_cora_concat,2026-06-07T01:59:20,cora,concat,False,3,1,0.7680000066757202,0.7585923116799205,57,108
20260607_015915_cora_concat,2026-06-07T01:59:15,cora,concat,False,3,42,0.7990000247955322,0.7844537531311141,16,67
20260607_015924_cora_gate,2026-06-07T01:59:25,cora,gate,False,3,0,0.796000063419342,0.7841665222925663,19,70
20260607_015927_cora_gate,2026-06-07T01:59:28,cora,gate,False,3,1,0.7850000262260437,0.7828553161215351,11,62
20260607_015922_cora_gate,2026-06-07T01:59:23,cora,gate,False,3,42,0.8100000619888306,0.7982575365715766,13,64
20260607_015932_cora_mix,2026-06-07T01:59:33,cora,mix,False,3,0,0.7760000228881836,0.7679318352060351,47,98
20260607_015935_cora_mix,2026-06-07T01:59:35,cora,mix,False,3,1,0.7770000100135803,0.768294997454378,10,61
20260607_015929_cora_mix,2026-06-07T01:59:30,cora,mix,False,3,42,0.7790000438690186,0.7684754001891865,24,75
20260607_021944_cora_rand_concat,2026-06-07T02:19:45,cora,rand_concat,True,3,0,0.784000039100647,0.7763582031923609,52,103
20260607_021947_cora_rand_concat,2026-06-07T02:19:48,cora,rand_concat,True,3,1,0.7830000519752502,0.7698464392227572,59,110
20260607_021942_cora_rand_concat,2026-06-07T02:19:43,cora,rand_concat,True,3,42,0.7890000343322754,0.7802265458101082,12,63
20260607_012544_citeseer_gcn,2026-06-07T01:25:45,citeseer,gcn,False,0,0,0.659000039100647,0.6292034366257029,9,60
20260607_012547_citeseer_gcn,2026-06-07T01:25:47,citeseer,gcn,False,0,1,0.6610000133514404,0.6282013755913302,8,59
20260607_012542_citeseer_gcn,2026-06-07T01:25:42,citeseer,gcn,False,0,42,0.6710000038146973,0.6371771955247983,6,57
20260607_012551_citeseer_sage,2026-06-07T01:25:52,citeseer,sage,False,0,0,0.6370000243186951,0.607198365147994,21,72
20260607_012554_citeseer_sage,2026-06-07T01:25:54,citeseer,sage,False,0,1,0.6800000071525574,0.6366673031739166,16,67
20260607_012549_citeseer_sage,2026-06-07T01:25:50,citeseer,sage,False,0,42,0.6610000133514404,0.6241388189213576,11,62
20260607_012559_citeseer_gat,2026-06-07T01:26:00,citeseer,gat,False,0,0,0.6840000152587891,0.6498215138552925,7,58
